age_group,mean,std,n
20-29,7.318441558441558,1.9513282014640996,77
30-39,6.740869565217392,2.1479543778100405,115
40-49,6.134705882352941,2.2116317138205495,68
50-59,6.977021276595745,2.0096245754667894,47
60-69,7.494545454545454,2.31186662087744,11
