age_group,mean,std,n
20-29,6.785953177257525,1.665794408703912,65
30-39,5.862322585743639,1.7934766404735498,111
40-49,6.114428571428571,1.7168471572888144,70
50-59,6.2729687499999995,1.783344474609706,32
60-69,6.293333333333333,2.5503725218093143,9
