subject,recalled,age
1,2.3,48.10502611278808
2,4.68,49.38374276451034
3,3.958181818181818,39.39038218900228
6,3.76,20.55358198092135
10,2.26,30.801453828620712
15,0.0,54.50910468159282
18,2.68,47.72730902528229
20,4.56,48.6554595006514
22,3.2,24.75353132964172
23,2.96,32.6688204868455
26,2.72,24.923167484616386
27,2.5,48.35428972988266
30,3.64,23.25566803790176
31,3.25,
32,3.8,19.80065755399951
33,2.5555555555555554,31.636515465752204
34,1.0813636363636363,29.355724849472157
35,3.5,45.18630316388
36,1.96,49.21376437116
39,2.6666666666666665,
42,7.56,28.28520320973965
44,2.3,58.64870599670082
45,3.92,51.25898090538021
48,6.88,21.807429310663466
49,1.0,52.181655566735344
50,5.04,20.413720564648
51,4.746666666666667,24.61640782037505
52,3.36,19.70745463630328
53,2.1333333333333333,39.425746821176
54,5.02,23.65004072636673
56,6.35,34.456445603491744
57,1.64,53.08254105149319
59,0.8933333333333333,44.781207006304
60,3.666666666666667,36.55915818485892
61,3.3775,21.40758080818452
62,1.6233333333333333,23.507555482544703
63,2.7199999999999998,23.649926646908103
65,4.026666666666666,34.273005834023515
66,3.9301136363636364,39.00148531455129
67,2.000952380952381,45.27403026756196
68,6.219155844155844,39.27527601525014
69,3.44,26.5849629584
70,1.8499999999999999,40.41139334369175
74,2.24,24.646524797452
75,3.0,50.054415901764
76,3.08,29.77747660800701
77,3.5633333333333335,47.60113714404357
80,3.3313725490196076,42.979664195706
81,3.75,33.561150012206504
83,2.678146853146853,49.48493124431029
84,2.12,25.37492214076949
86,3.6,
89,1.92,36.40868737893317
92,2.7,44.90429874215989
93,3.1437373737373737,24.945070740672293
94,1.3866666666666667,47.29734354572647
96,4.011428571428572,34.15812781918862
98,2.9466666666666668,38.72769461385244
100,0.16666666666666666,43.54378711860385
101,2.6,26.07856424156553
102,3.04,34.85891793351905
104,3.76,22.075744197348
105,3.72,25.08481807748733
106,2.13003663003663,26.86160564556425
108,2.7075,23.595396665685584
111,6.432708333333333,20.05516882619082
112,1.5420634920634921,29.911634051349445
113,3.6819047619047622,36.69342970765998
114,2.92,31.52711326493129
115,3.84,47.25638902008026
118,2.14,33.20818816722223
120,4.140000000000001,33.569591892144715
121,2.3179487179487177,34.960334572236256
122,5.008888888888889,48.24751135661
123,2.1333333333333333,29.125854740344
124,4.2,40.54851685295842
125,2.4743589743589745,44.871557937535
127,3.08,40.28841568729452
128,5.64,26.29497297457625
129,2.0738636363636367,34.913790153117446
130,2.3228070175438598,57.04703039761255
131,3.388888888888889,24.057988870408
134,1.0866666666666667,64.70507037561802
135,1.07,47.888731459235984
136,2.38,56.60634144894602
137,3.6799999999999997,21.010698371629807
138,2.0,41.81069198318013
142,1.92,43.642351770855
145,3.37,45.92291422821824
146,1.64,45.48222527955171
147,1.8499999999999999,47.71909530426132
148,2.96,59.64256624023765
149,2.56,28.38947183492246
150,1.92,49.5836099760205
